Name,Rating,Pace,Shooting,Passing,Dribbling,Defense,Physical,Vision,Reflex,Composure,Jumping,Foot,Age
Alexander Isak,85,85,84,73,86,39,74,80,85,86,88,Right,24
N'Golo Kanté,85,76,65,73,80,85,78,77,87,82,73,Right,33
Jules Koundé,85,84,45,70,75,86,80,62,86,82,90,Right,25
Khvicha Kvaratskhelia,85,86,79,80,86,41,71,83,84,79,78,Right,23
Vitinha,85,72,77,84,87,73,68,85,85,88,66,Right,24
James Maddison,85,71,81,86,86,54,63,88,80,88,57,Right,27
Riyad Mahrez,85,79,81,81,88,39,62,83,82,81,71,Left,33
Giorgi Mamardashvili,85,86,83,72,85,48,85,34,74,26,71,Left,23
Mikel Merino,85,72,79,82,82,83,82,83,86,80,88,Left,28
Sergej Milinković-Savić,85,64,80,81,82,78,88,81,83,84,88,Right,29
Loïs Openda,85,93,84,69,81,31,79,69,84,81,93,Right,24
Palhinha,85,52,68,72,74,85,90,72,79,84,84,Right,29
Cole Palmer,85,75,82,83,86,50,66,86,84,87,71,Left,22
Andrew Robertson,85,78,61,82,79,81,78,82,85,83,76,Left,30
Leroy Sané,85,90,83,80,86,37,70,81,83,83,72,Left,28
Nico Schlotterbeck,85,77,59,70,73,85,82,72,83,78,91,Left,24
John Stones,85,69,58,75,79,85,77,78,87,88,84,Right,30
Aurélien Tchouaméni,85,73,69,79,78,82,82,82,83,83,84,Right,24
Diogo Jota,85,82,82,75,84,57,79,78,88,83,91,Right,27
Sandro Tonali,85,84,74,81,81,82,82,79,83,84,84,Right,24
Ollie Watkins,85,85,83,73,80,50,83,77,85,81,91,Right,28
Nico Williams,85,93,75,78,86,36,65,80,80,78,78,Right,22
Francesco Acerbi,84,60,50,64,65,86,80,65,83,86,86,Left,36
Manuel Akanji,84,78,48,71,75,85,82,65,86,83,90,Right,29
Nathan Aké,84,76,53,72,75,84,77,68,84,79,88,Left,29
Julián Álvarez,84,85,84,80,85,57,78,81,86,84,83,Right,24
Iago Aspas,84,81,86,79,86,35,65,81,86,85,80,Left,37
Yassine Bounou,84,81,82,77,86,38,83,62,80,57,66,Left,33
Federico Chiesa,84,93,83,76,86,52,75,77,84,82,76,Right,26
Kingsley Coman,84,89,75,79,87,30,62,80,84,78,79,Right,28
Rúben Neves,84,57,75,86,77,77,77,87,82,88,66,Right,27
Matthijs de Ligt,84,62,61,63,67,85,83,45,84,82,86,Right,25
Rodrigo De Paul,84,76,77,83,82,76,82,86,81,81,77,Right,30
Raphinha,84,91,79,78,86,53,73,80,84,80,83,Left,27
Luis Díaz,84,90,80,75,87,39,75,77,83,82,80,Right,27
Federico Dimarco,84,80,77,84,83,78,81,79,83,78,82,Left,26
Artem Dovbyk,84,84,85,69,79,34,81,72,80,83,95,Left,27
Jeremie Frimpong,84,93,62,75,86,75,69,74,84,80,73,Right,23
Aleix García,84,67,77,85,84,76,68,86,82,84,65,Right,27
Jack Grealish,84,76,76,82,88,53,73,84,82,88,70,Right,29
Serhou Guirassy,84,69,86,71,80,39,79,75,85,87,87,Right,28
Viktor Gyökeres,84,90,83,67,80,36,91,77,84,82,95,Right,26
Achraf Hakimi,84,91,76,80,80,75,78,78,82,83,82,Right,25
Lukáš Hrádecký,84,85,80,69,87,40,82,53,82,45,60,Right,34
Kalidou Koulibaly,84,76,48,64,67,85,84,65,85,82,82,Right,33
Sadio Mané,84,83,81,78,86,44,75,80,85,83,86,Right,32
Lisandro Martínez,84,71,59,78,79,85,81,76,84,87,84,Left,26
Diogo Costa,84,83,78,82,86,35,83,67,83,44,61,Right,24
Ferland Mendy,84,89,64,76,76,81,85,75,81,77,90,Left,29
Christopher Nkunku,84,81,81,81,86,60,67,82,81,82,77,Right,26
Dani Olmo,84,73,77,82,87,50,57,85,86,82,60,Right,26
Exequiel Palacios,84,69,76,79,82,82,73,82,84,83,73,Right,25
Benjamin Pavard,84,75,67,75,75,86,81,69,86,80,88,Right,28
Álex Remiro,84,84,79,80,86,42,86,35,79,55,68,Right,29
Cristian Romero,84,68,46,59,66,85,81,50,85,82,86,Right,26
Marcel Sabitzer,84,76,84,81,82,75,79,82,86,84,72,Right,30
Casemiro,84,38,74,77,69,82,82,77,83,79,75,Right,32
Guglielmo Vicario,84,84,80,79,87,52,84,69,82,63,67,Right,27
Dušan Vlahović,84,78,84,69,79,29,83,70,86,81,92,Left,24
Kyle Walker,84,89,64,77,78,79,81,69,85,75,87,Right,34
Benjamin White,84,73,35,77,78,83,80,76,84,83,83,Right,26
Marcos Acuña,83,74,74,82,82,80,84,82,84,86,79,Left,32
Robert Andrich,83,54,77,76,73,83,83,73,83,75,80,Right,29
Ismaël Bennacer,83,77,73,82,85,78,75,80,83,87,77,Left,26
Domenico Berardi,83,79,81,78,85,36,70,78,84,78,73,Left,30
Eduardo Camavinga,83,80,67,81,84,78,80,83,82,84,82,Left,21
Yannick Carrasco,83,88,81,80,85,59,67,80,80,84,74,Right,31
Andreas Christensen,83,67,32,68,71,85,76,62,84,79,80,Right,28
Stefan de Vrij,83,62,41,65,69,85,75,70,83,85,82,Right,32
Ángel Di María,83,76,80,85,88,48,66,87,77,89,69,Left,36
Moussa Diaby,83,95,75,74,86,43,53,77,80,77,57,Left,25
Youssef En-Nesyri,83,82,82,63,77,36,80,56,82,75,93,Left,27
Rafa,83,93,77,77,86,50,54,83,84,81,62,Right,31
Cody Gakpo,83,82,83,78,83,48,75,80,81,83,91,Right,25
José María Giménez,83,71,46,58,61,85,82,46,78,75,88,Right,29
Olivier Giroud,83,45,84,74,75,42,81,78,86,86,84,Left,37
Leon Goretzka,83,70,80,80,81,80,85,82,85,83,86,Right,29
Joško Gvardiol,83,79,69,74,78,83,83,68,84,81,90,Left,22
Kai Havertz,83,77,81,80,82,49,72,82,84,84,86,Left,25
Lucas Hernández,83,74,54,72,71,84,78,71,85,80,85,Left,28
Mauro Icardi,83,68,83,71,76,40,75,81,84,86,87,Right,31
Kim Min Jae,83,76,33,57,63,85,83,57,82,66,84,Right,27
Ibrahima Konaté,83,75,34,59,68,83,84,57,81,78,83,Right,25
Teun Koopmeiners,83,66,78,83,78,75,78,84,84,81,77,Left,26
Mateo Kovačić,83,69,67,82,87,71,70,82,84,84,63,Right,30
Konrad Laimer,83,80,69,77,77,82,78,76,84,79,80,Right,27
Aymeric Laporte,83,55,50,74,70,85,76,68,83,84,81,Left,30
Robin Le Normand,83,62,26,54,60,84,79,32,83,73,86,Right,27
Marcos Llorente,83,89,79,78,80,79,81,79,81,79,84,Right,29
Manuel Locatelli,83,64,70,80,78,79,80,82,80,82,74,Right,26
Donyell Malen,83,89,81,74,85,35,72,75,82,79,84,Right,25
Gabriel Martinelli,83,89,78,75,85,46,72,79,82,79,82,Right,23
Henrikh Mkhitaryan,83,78,79,82,84,72,77,85,83,85,79,Right,35
Morata,83,82,81,73,80,31,79,77,84,79,94,Right,31
Gerard Moreno,83,77,85,77,81,46,72,78,82,80,87,Left,32
André Onana,83,83,75,87,86,61,79,68,83,65,79,Right,28
Willi Orban,83,58,36,56,56,85,78,44,82,72,90,Right,31
Gavi,83,76,66,78,85,68,70,83,86,74,62,Right,20
Parejo,83,52,80,88,78,74,69,90,75,85,67,Right,35
Lorenzo Pellegrini,83,79,78,83,83,74,78,87,85,84,83,Right,28
Pedro Gonçalves,83,78,82,84,84,63,68,85,84,85,72,Right,26
Jordan Pickford,83,83,78,88,87,53,80,69,77,65,75,Left,30
Nick Pope,83,82,82,75,85,49,82,50,80,63,71,Right,32
Pedro Porro,83,82,73,80,81,78,77,80,81,79,79,Right,25
Ivan Provedel,83,84,79,80,85,42,84,63,75,68,65,Right,30
Christian Pulisic,83,88,82,78,86,37,63,79,84,83,69,Right,25
David Raya,83,82,81,86,82,57,81,68,80,68,62,Right,28
Koke,83,69,72,84,79,77,78,85,82,84,74,Right,32
Guido Rodríguez,83,51,58,72,70,85,80,73,80,71,77,Right,29
Alessio Romagnoli,83,64,40,56,69,85,79,45,82,77,86,Left,29
Xavi Simons,83,81,77,80,86,61,71,85,84,81,69,Right,21
Douglas Luiz,83,66,78,85,80,75,76,86,79,84,74,Right,26
Dušan Tadić,83,64,79,85,81,43,78,88,82,86,76,Left,35
Edmond Tapsoba,83,75,54,68,70,85,79,72,81,78,83,Right,25
Nuno Mendes,83,89,58,76,82,78,76,72,81,80,86,Left,22
Marcus Thuram,83,87,81,77,82,50,84,80,85,77,94,Right,27
Fikayo Tomori,83,84,40,60,68,85,80,48,84,81,92,Right,26
Lucas Torreira,83,76,69,78,81,81,81,79,84,84,76,Right,28
Kieran Trippier,83,67,65,85,78,81,72,84,83,81,79,Right,33
Leandro Trossard,83,82,81,80,85,30,61,81,80,84,75,Right,29
Viktor Tsygankov,83,85,80,81,82,46,62,82,80,80,64,Left,26
Mattia Zaccagni,83,87,77,75,88,57,66,77,83,83,79,Right,29
Duván Zapata,83,73,82,64,78,35,88,70,78,82,95,Right,33
Isco,82,66,74,82,83,59,59,84,78,81,63,Right,32
Joelinton,82,76,72,76,82,81,89,83,85,83,90,Right,28
Pepê,82,87,74,75,85,62,62,80,82,73,62,Right,27
Pierre-Emerick Aubameyang,82,84,83,72,78,35,63,71,83,79,83,Right,35
Leon Bailey,82,90,78,77,86,38,62,82,80,75,76,Left,27
Oliver Baumann,82,81,80,78,83,39,79,44,82,52,66,Right,34
Victor Boniface,82,73,83,66,80,38,82,74,78,78,88,Right,23
Sven Botman,82,60,37,63,65,83,83,59,81,77,83,Left,24
Jarrod Bowen,82,77,81,76,81,46,70,77,83,80,85,Left,27
Marcelo Brozović,82,66,74,79,80,80,80,79,75,82,75,Right,31
Moisés Caicedo,82,75,63,75,78,79,78,77,80,80,76,Right,22
Emre Can,82,77,78,74,76,82,86,74,79,83,88,Right,30
Marco Carnesecchi,82,84,79,71,85,30,83,54,70,40,58,Right,24
Koen Casteels,82,82,79,74,85,45,83,42,79,40,69,Left,32
Lucas Paquetá,82,72,77,79,85,69,79,83,81,88,78,Left,27
Ángel Correa,82,85,84,77,86,50,75,82,82,79,82,Right,29
Marc Cucurella,82,75,60,80,80,78,76,77,81,78,76,Left,26
Danilo,82,76,67,74,74,84,77,64,80,82,85,Right,33
Otávio,82,78,71,81,85,67,74,85,84,81,75,Right,29
Diogo Dalot,82,85,63,77,80,79,79,78,80,76,88,Right,25
Sergi Darder,82,79,78,82,83,74,77,85,80,87,78,Right,30
Alphonso Davies,82,95,66,77,84,72,76,77,83,78,86,Left,23
Giovanni Di Lorenzo,82,83,67,73,76,79,80,68,78,74,85,Right,31
Brahim,82,85,74,78,85,31,56,81,79,79,60,Right,25
Denzel Dumfries,82,83,66,73,74,78,88,64,81,74,94,Right,28
Edin Džeko,82,57,82,73,76,45,76,78,83,87,77,Right,38
Enzo Fernández,82,69,73,82,80,73,77,85,80,82,74,Right,23
Nacho Fernández,82,73,37,68,71,82,79,53,81,75,84,Right,34
Gabriel Jesus,82,83,80,75,88,39,77,79,88,78,88,Right,27
Jorginho,82,46,67,83,80,73,71,83,82,84,63,Right,32
Pau Torres,82,70,41,77,70,83,79,77,80,85,85,Left,27
Niclas Füllkrug,82,63,84,71,75,43,81,76,83,80,89,Right,31
Gayà,82,81,61,77,79,78,74,76,82,76,73,Left,29
Paulo Gazzaniga,82,82,80,83,81,57,82,64,78,61,66,Right,32
Matthias Ginter,82,54,59,71,66,85,75,72,85,77,83,Right,30
Serge Gnabry,82,80,83,78,84,43,66,80,82,82,68,Right,29
Anthony Gordon,82,91,78,76,81,49,71,78,83,80,75,Right,23
Raphaël Guerreiro,82,63,78,85,88,76,56,85,88,87,50,Left,30
Péter Gulácsi,82,82,82,75,81,43,83,44,79,45,72,Right,34
Fabinho,82,58,69,78,77,80,82,76,78,85,75,Right,30
Yangel Herrera,82,64,77,76,78,80,81,80,80,72,83,Right,26
Jonas Hofmann,82,73,79,81,81,64,72,85,84,82,66,Right,32
Ciro Immobile,82,82,83,67,78,39,73,71,82,76,86,Right,34
Reece James,82,78,72,83,82,82,82,82,81,83,88,Right,24
Boubacar Kamara,82,66,54,74,75,83,80,73,75,86,79,Right,24
Franck Yannick Kessié,82,79,77,74,79,80,88,76,78,83,85,Right,27
Randal Kolo Muani,82,90,80,71,81,38,67,77,80,79,90,Right,25
Filip Kostić,82,85,76,81,81,70,80,79,80,82,80,Left,31
Mohammed Kudus,82,90,77,73,86,60,75,75,79,77,74,Left,24
Dejan Kulusevski,82,75,77,80,83,57,80,83,81,84,75,Left,24
Alexandre Lacazette,82,70,84,76,83,44,75,80,83,83,83,Right,33
Jeremías Conan Ledesma,82,82,79,75,83,46,81,44,78,42,68,Right,31
Bernd Leno,82,83,79,76,84,53,82,53,75,63,70,Right,32
Stanislav Lobotka,82,72,69,80,81,75,75,82,80,77,67,Right,29
Ademola Lookman,82,84,81,71,86,31,66,77,85,78,79,Right,26
Romelu Lukaku,82,79,82,73,74,38,82,75,80,81,93,Left,31
Gianluca Mancini,82,71,45,56,64,83,85,56,82,80,86,Right,28
John McGinn,82,68,77,80,82,78,85,82,81,79,77,Left,29
Aleksandar Mitrović,82,64,82,62,73,28,88,72,82,75,91,Right,29
Nahuel Molina,82,85,67,75,78,78,71,76,79,76,76,Right,26
Savinho,82,88,72,77,84,30,53,79,77,74,62,Left,20
Thomas Müller,82,57,82,83,79,55,68,87,91,89,73,Right,35
Darwin Núñez,82,90,80,72,78,46,86,78,82,76,94,Right,25
Michael Olise,82,80,77,82,84,53,56,84,77,81,56,Left,22
Oyarzabal,82,77,83,81,82,42,63,82,82,83,77,Left,27
Thomas Partey,82,62,71,80,77,79,82,81,79,86,75,Right,31
Tijjani Reijnders,82,80,76,80,84,73,74,81,80,83,76,Right,26
Fabián Ruiz,82,54,76,80,80,75,72,84,82,84,69,Left,28
Brice Samba,82,79,83,80,84,53,81,48,80,66,73,Left,30
Sancet,82,73,77,80,84,70,82,86,84,85,86,Right,24
Jadon Sancho,82,79,69,78,89,32,50,84,81,83,57,Right,24
Fabian Schär,82,51,68,77,74,84,79,77,83,82,80,Right,32
Patrik Schick,82,74,81,71,81,37,76,74,83,84,90,Left,28
Luke Shaw,82,75,57,82,78,81,78,80,80,83,84,Left,29
Malcom,82,84,79,79,84,43,72,82,79,77,80,Left,27
Chris Smalling,82,54,47,58,61,85,79,56,80,85,80,Right,34
Alexander Sørloth,82,79,82,70,76,36,85,73,80,82,92,Left,28
Anderson Talisca,82,79,84,78,83,53,75,77,82,77,81,Left,30
Luis Suárez,82,64,85,78,77,41,75,80,85,86,79,Right,37
Niklas Süle,82,70,51,67,64,83,79,66,81,84,79,Right,29
Kevin Trapp,82,82,80,76,84,46,79,46,83,64,69,Right,34
Destiny Udogie,82,88,65,74,80,78,80,75,79,78,85,Left,21
Dayot Upamecano,82,81,45,63,73,81,85,58,81,74,85,Right,25
Micky van de Ven,82,88,47,64,71,83,81,55,80,82,89,Left,23
Raphaël Varane,82,73,49,64,69,83,77,59,81,79,88,Right,31
Iñaki Williams,82,94,81,72,80,45,84,73,83,78,95,Right,30
Luciano Acosta,81,79,73,76,85,46,56,81,81,80,61,Right,30
Edson Álvarez,81,66,58,69,72,83,87,69,77,76,81,Right,26
Yeray,81,64,49,70,65,83,76,67,83,79,78,Right,29
Waldemar Anton,81,69,46,65,67,81,83,67,81,80,84,Right,28
Alphonse Areola,81,82,77,74,83,55,80,59,79,64,76,Right,31
Marco Asensio,81,76,79,81,83,43,63,80,80,82,71,Left,28
Balde,81,91,48,73,78,75,64,72,78,64,79,Left,20
Rodrigo Bentancur,81,67,68,80,82,79,76,82,79,86,74,Right,27
Álex Berenguer,81,85,75,75,83,64,68,76,79,83,73,Right,29
Sergio Busquets,81,37,61,77,78,78,73,82,78,87,64,Right,36
Bryan Cristante,81,55,74,78,75,78,84,80,80,82,80,Right,29
Ricardo Horta,81,80,80,80,81,43,70,84,82,73,72,Right,29
Rui Silva,81,82,76,77,84,31,81,55,73,49,62,Right,30
Matteo Darmian,81,72,62,75,76,80,75,70,83,79,79,Right,34
Jonathan David,81,82,81,71,78,34,75,73,82,81,88,Right,24
Richarlison,81,77,80,73,80,53,78,75,81,82,89,Right,27
Luuk de Jong,81,44,80,73,73,57,80,75,84,80,92,Right,34
Fred,81,75,71,79,82,75,78,81,85,76,73,Left,31
Eberechi Eze,81,78,81,78,84,49,69,80,79,82,70,Right,26
Youssouf Fofana,81,69,68,74,77,78,80,77,79,77,75,Right,25
Davide Frattesi,81,80,74,78,81,71,71,84,80,79,77,Right,24
Remo Freuler,81,60,72,76,77,77,74,78,82,83,62,Right,32
Conor Gallagher,81,73,75,78,78,77,81,76,80,76,71,Right,24
Alexandr Golovin,81,77,77,80,83,61,68,81,81,80,63,Right,28
Pascal Groß,81,50,77,85,80,73,74,85,85,85,61,Right,33
Marc Guéhi,81,72,39,65,72,82,77,59,82,76,84,Right,24
Dávid Hancko,81,78,66,72,74,81,80,68,83,77,84,Left,26
Benjamin Henrichs,81,74,54,76,78,79,74,74,80,78,78,Right,27
Piero Hincapié,81,78,40,64,72,81,80,53,79,76,88,Left,22
Ferdi Kadıoğlu,81,88,65,75,85,75,76,75,78,78,75,Right,24
Daichi Kamada,81,79,73,80,83,54,63,82,80,81,68,Right,28
Presnel Kimpembe,81,74,43,67,69,81,82,64,78,79,89,Left,29
Orkun Kökçü,81,72,76,83,80,68,79,84,74,78,66,Right,23
Ezri Konsa,81,76,48,71,76,83,78,74,83,84,85,Right,26
Odilon Kossounou,81,80,32,64,67,82,80,57,77,73,81,Right,23
Andrej Kramarić,81,71,83,79,84,33,73,81,84,82,75,Right,33
Takefusa Kubo,81,84,76,76,83,40,60,76,79,72,69,Left,23
Ruben Loftus-Cheek,81,81,76,79,82,77,83,80,81,82,94,Right,28
Andriy Lunin,81,80,78,77,82,37,80,60,80,56,62,Right,25
Iñigo Martínez,81,71,56,67,61,81,80,55,80,70,86,Left,33
Noussair Mazraoui,81,78,66,77,83,77,71,77,79,79,78,Right,26
Brais Méndez,81,71,80,82,81,65,73,84,82,80,80,Left,27
Alex Meret,81,80,78,72,84,44,83,25,76,67,66,Left,27
Arkadiusz Milik,81,56,82,72,77,40,72,78,82,84,80,Left,30
Kaoru Mitoma,81,84,73,75,85,57,65,81,77,79,73,Right,27
Fernando Muslera,81,81,81,71,80,35,82,56,79,60,62,Right,38
Riccardo Orsolini,81,79,80,78,83,49,67,77,76,76,78,Left,27
Stefan Ortega,81,79,77,86,84,52,81,66,78,56,73,Right,31
Nicolás Otamendi,81,60,57,64,59,83,83,62,80,79,87,Right,36
Isi Palazón,81,84,78,79,81,39,64,80,76,76,65,Left,29
Aaron Ramsdale,81,81,79,85,83,48,78,65,79,62,64,Right,26
Marcus Rashford,81,89,83,76,82,33,64,77,79,76,82,Right,26
David Raum,81,85,61,81,78,73,78,79,75,77,81,Left,26
Stefan Savić,81,63,35,57,57,83,79,55,80,80,84,Right,33
Xaver Schlager,81,72,70,74,78,75,79,78,81,74,68,Left,26
Jerdy Schouten,81,65,59,72,76,80,72,77,80,84,72,Right,27
Ellyes Skhiri,81,60,73,74,75,80,76,71,83,80,75,Right,29
Milan Škriniar,81,57,45,60,65,83,80,56,81,78,82,Right,29
Dominic Solanke,81,75,81,66,78,29,83,70,82,78,89,Right,27
David Soria,81,81,79,73,82,43,80,48,79,60,74,Right,31
Raheem Sterling,81,85,78,75,85,42,65,76,82,76,71,Right,29
Dominik Szoboszlai,81,82,80,84,80,59,70,83,80,79,74,Right,23
Youri Tielemans,81,44,79,83,79,69,70,84,80,85,68,Right,27
Manuel Ugarte,81,69,65,73,77,78,80,75,78,82,73,Right,23
Deniz Undav,81,67,82,75,80,33,78,83,84,83,81,Right,28
Álvaro Valles,81,80,79,79,83,41,81,67,78,45,63,Right,27
Lucas Vázquez,81,81,74,80,81,74,69,79,81,75,70,Right,33
Joey Veerman,81,55,72,85,77,66,72,88,75,80,61,Right,25
Vivian,81,79,48,57,69,82,81,46,83,68,86,Right,25
Callum Wilson,81,78,82,67,79,42,75,70,85,81,87,Right,32
Lamine Yamal,81,82,75,76,82,23,48,77,79,65,55,Left,17
Wilfried Zaha,81,86,78,73,85,37,75,74,76,80,74,Right,31
Piotr Zieliński,81,78,76,80,83,71,62,82,80,75,66,Right,30
Zubimendi,81,64,67,75,77,78,71,76,84,81,71,Right,25
Salem Al Dawsari,80,85,75,72,84,52,80,74,81,80,70,Right,33
Ali Al Musrati,80,62,66,71,71,78,84,75,76,80,74,Right,28
Jordi Alba,80,82,70,80,81,72,69,77,79,80,76,Left,35
Toby Alderweireld,80,50,61,74,66,81,82,77,80,86,79,Right,35
Joachim Andersen,80,52,57,72,66,79,84,69,80,78,81,Right,28
Benjamin André,80,61,64,73,75,78,83,72,79,77,82,Right,34
Marko Arnautović,80,70,79,78,79,44,78,79,77,80,86,Right,35
Maximilian Arnold,80,63,79,79,77,76,76,78,82,79,70,Left,30
Fredrik Aursnes,80,76,66,77,80,76,81,78,83,82,79,Right,28
Simon Banza,80,75,80,56,76,36,77,64,80,73,90,Right,28
Roberto Firmino,80,67,75,79,85,58,76,80,80,86,82,Right,32
Bradley Barcola,80,88,74,75,81,34,64,79,79,80,77,Right,22
Harvey Barnes,80,85,78,75,81,43,68,80,83,77,72,Right,26
Christoph Baumgartner,80,77,74,74,82,47,60,81,78,77,73,Right,25
Walter Benítez,80,79,78,72,82,37,79,46,77,62,70,Right,31
Gonçalo Inácio,80,80,37,64,71,81,79,75,77,75,85,Left,23
Yves Bissouma,80,71,67,75,81,78,77,74,77,82,76,Right,28
Daley Blind,80,36,62,83,77,83,70,84,82,83,72,Left,34
Denis Bouanga,80,85,81,74,79,38,79,73,82,72,88,Right,29
Yan Couto,80,85,61,76,81,72,64,75,73,65,69,Right,22
Alessandro Buongiorno,80,65,45,69,65,82,76,70,78,77,81,Left,25
Davide Calabria,80,78,57,70,76,79,71,64,78,78,74,Right,27
Lucas Chevalier,80,80,79,72,83,45,78,47,79,45,60,Right,22
Samuel Chukwueze,80,88,74,74,83,36,61,76,77,72,68,Left,25
Jonathan Clauss,80,88,69,76,78,73,69,75,82,77,76,Right,31
Kevin Danso,80,75,32,57,62,80,85,52,79,74,89,Right,25
Evanilson,80,76,78,65,78,37,80,70,83,78,89,Right,24
De Marcos,80,79,64,74,75,77,78,71,78,73,78,Right,35
Michele Di Gregorio,80,82,78,78,82,56,82,65,68,56,69,Right,27
Eric Dier,80,58,63,70,63,81,81,63,75,71,81,Right,30
Jérémy Doku,80,92,72,73,86,30,68,74,77,75,72,Right,22
Éderson,80,72,68,75,79,77,80,79,80,80,77,Right,25
Wataru Endo,80,60,68,71,78,79,76,77,78,79,79,Right,31
